Order_ID,Order_Date,Customer_ID,Product_ID,Rep_ID,Quantity,Discount,Sales,Profit
ORD000001,2025-01-14,CUST02834,PROD0216,REP027,4,5,22089.4,6921.4
ORD000002,2024-12-15,CUST01550,PROD0062,REP068,5,15,134419.0,12454.0
ORD000003,2026-03-05,CUST01920,PROD0365,REP013,4,0,107704.0,28740.0
ORD000004,2024-10-26,CUST00872,PROD0095,REP016,5,5,317138.5,106743.5
ORD000005,2026-06-22,CUST04482,PROD0312,REP061,4,5,157772.2,30496.2
ORD000006,2026-05-08,CUST01767,PROD0318,REP074,2,15,64676.5,-829.5
ORD000007,2025-05-14,CUST00319,PROD0473,REP011,2,10,104322.6,16472.6
ORD000008,2025-07-20,CUST00785,PROD0007,REP055,3,10,120009.6,26937.6
ORD000009,2025-07-04,CUST01441,PROD0091,REP063,2,15,7791.1,761.1
ORD000010,2026-05-29,CUST04624,PROD0089,REP020,5,20,142948.0,12508.0
ORD000011,2024-11-01,CUST03323,PROD0018,REP085,1,5,3091.3,938.3
ORD000012,2026-03-07,CUST03088,PROD0499,REP056,1,5,34675.0,7078.0
ORD000013,2025-06-08,CUST02173,PROD0340,REP006,3,10,171879.3,30450.3
ORD000014,2026-02-27,CUST01487,PROD0428,REP051,3,5,119101.5,39349.5
ORD000015,2025-11-03,CUST00013,PROD0159,REP079,4,5,143248.6,23640.6
ORD000016,2025-05-30,CUST03424,PROD0183,REP038,5,5,193847.5,18132.5
ORD000017,2025-08-05,CUST04233,PROD0191,REP016,1,10,1838.7,105.7
ORD000018,2025-04-20,CUST01813,PROD0423,REP024,2,15,54920.2,3864.2
ORD000019,2025-02-06,CUST02886,PROD0259,REP064,5,20,31904.0,5779.0
ORD000020,2025-11-15,CUST02391,PROD0050,REP085,3,15,51665.55,9239.55
ORD000021,2024-07-18,CUST02599,PROD0228,REP089,3,5,53822.25,16328.25
ORD000022,2026-03-27,CUST03350,PROD0129,REP072,5,0,53130.0,18505.0
ORD000023,2025-02-16,CUST03091,PROD0018,REP097,4,20,10412.8,1800.8
ORD000024,2025-03-26,CUST00270,PROD0219,REP058,5,5,177407.75,31957.75
ORD000025,2024-12-06,CUST03189,PROD0142,REP064,5,20,103332.0,19142.0
ORD000026,2026-01-25,CUST02008,PROD0244,REP074,1,15,24112.8,4951.8
ORD000027,2026-02-24,CUST00979,PROD0010,REP035,2,0,134716.0,48554.0
ORD000028,2026-05-16,CUST00874,PROD0146,REP096,1,10,12721.5,2243.5
ORD000029,2025-03-24,CUST03074,PROD0130,REP023,3,15,59483.85,4988.85
ORD000030,2024-08-19,CUST01580,PROD0355,REP035,1,0,14882.0,2245.0
ORD000031,2026-03-01,CUST00820,PROD0390,REP061,5,0,32590.0,10265.0
ORD000032,2025-09-14,CUST02183,PROD0133,REP045,4,5,123937.0,30161.0
ORD000033,2025-11-15,CUST04890,PROD0478,REP050,5,20,84416.0,15516.0
ORD000034,2026-04-01,CUST02358,PROD0383,REP084,5,5,137816.5,42186.5
ORD000035,2026-03-18,CUST03737,PROD0274,REP050,2,5,49857.9,4283.9
ORD000036,2024-08-22,CUST02300,PROD0289,REP032,2,0,18362.0,3170.0
ORD000037,2024-08-14,CUST00781,PROD0363,REP050,2,10,116101.8,25507.8
ORD000038,2026-02-13,CUST03904,PROD0415,REP037,4,20,119472.0,18660.0
ORD000039,2025-09-24,CUST04924,PROD0463,REP005,1,20,38602.4,7129.4
ORD000040,2024-08-15,CUST01976,PROD0024,REP009,5,15,59929.25,14359.25
ORD000041,2025-03-27,CUST04113,PROD0385,REP005,4,5,194301.6,35037.6
ORD000042,2025-01-21,CUST03413,PROD0250,REP061,4,10,74653.2,16545.2
ORD000043,2024-08-13,CUST04827,PROD0481,REP100,3,10,118365.3,24942.3
ORD000044,2024-12-08,CUST03435,PROD0089,REP054,5,15,151882.25,21442.25
ORD000045,2025-01-08,CUST01824,PROD0397,REP044,5,10,3546.0,971.0
ORD000046,2025-11-04,CUST03701,PROD0246,REP073,5,5,293478.75,51318.75
ORD000047,2026-01-25,CUST03143,PROD0273,REP066,4,5,39352.8,9164.8
ORD000048,2024-08-16,CUST03534,PROD0267,REP042,4,20,41891.2,5047.2
ORD000049,2026-02-17,CUST00015,PROD0114,REP090,5,10,59710.5,5200.5
ORD000050,2026-03-29,CUST00632,PROD0081,REP083,3,5,113746.35,25960.35
ORD000051,2025-08-04,CUST02742,PROD0176,REP079,5,0,120435.0,22160.0
ORD000052,2025-11-04,CUST03133,PROD0463,REP050,3,10,130283.1,35864.1
ORD000053,2025-05-10,CUST01326,PROD0229,REP033,5,20,210824.0,29924.0
ORD000054,2025-03-23,CUST01241,PROD0451,REP025,2,20,81323.2,14513.2
ORD000055,2025-04-02,CUST02154,PROD0401,REP095,3,20,19956.0,336.0
ORD000056,2025-10-21,CUST01798,PROD0252,REP012,2,10,45336.6,12590.6
ORD000057,2024-09-26,CUST04215,PROD0432,REP099,4,0,283780.0,103284.0
ORD000058,2024-10-05,CUST00275,PROD0470,REP096,4,10,53881.2,11309.2
ORD000059,2026-03-27,CUST00701,PROD0121,REP026,2,0,83710.0,31202.0
ORD000060,2025-11-04,CUST03896,PROD0041,REP091,2,10,4712.4,812.4
